Fase atual,Quais pronomes você utiliza?  ,Você se identifica como parte da comunidade LGBTQIAPN+?  ,Como você se autodeclara em relação à sua cor ou raça?  ,"Você possui alguma deficiência, condição ou necessidade específica que a IN Junior deveria considerar para garantir acessibilidade e inclusão?  ","Se sim, e se quiser detalhar, conte um pouco mais:  ",Curso,Qual o seu período?,Como você ficou sabendo do processo seletivo?
Eliminados Falta de Resposta,Ele/Dele,Não,Parda,Não,,Tecnologia em Sistemas de Computação,5° período,Indicação por membros e ex-membros
Eliminados da Dinâmica,Ela/Dela,Não,Branca,Não,,Ciência da Computação,1° período,Indicação por membros e ex-membros
Eliminados Falta de Resposta,Ele/Dele,Não,Branca,Não,,Ciência da Computação,2° período,Mídias sociais
Eliminados Falta de Resposta,Ele/Dele,Não,Branca,Não,,Tecnologia em Sistemas de Computação,3° período,Mídias sociais
Eliminados Falta de Resposta,Ele/Dele,Não,Branca,Não,,Ciência da Computação,6° período,Outros
Falta na Dinâmica,Ele/Dele,Não,Branca,Não,,Ciência da Computação,1° período,Outros
Eliminados Falta de Resposta,Ele/Dele,Não,Branca,Não,,Ciência da Computação,2° período,Outros
Entrevista,Ele/Dele,Sim,Branca,Não,,Ciência da Computação,2° período,Outros
Entrevista,Ele/Dele,Não,Preta,Não,,Sistemas de Informação,2° período,Indicação por membros e ex-membros
Eliminados Falta de Resposta,Ela/Dela,Não,Branca,Não,,Tecnologia em Sistemas de Computação,2° período,Indicação por membros e ex-membros
Eliminados da Dinâmica,Ele/Dele,Não,Branca,Não,,Tecnologia em Sistemas de Computação,3° período,Indicação por membros e ex-membros
Eliminados Falta de Resposta,Ele/Dele,Não,Parda,Não,,Tecnologia em Sistemas de Computação,1° período,Outros
Eliminados Falta de Resposta,Ele/Dele,Não,Parda,Não,,Ciência da Computação,5° período,Mídias sociais
Eliminados Falta de Resposta,Ele/Dele,Não,Branca,Não,,Sistemas de Informação,3° período,Indicação por membros e ex-membros
Eliminados Falta de Resposta,Ela/Dela,Não,Parda,Não,,Sistemas de Informação,2° período,Indicação por membros e ex-membros
Eliminados Falta de Resposta,Ele/Dele,Não,Branca,Sim,Visão Monocular sem necessidades especiais.,Tecnologia em Sistemas de Computação,1° período,Outros
Eliminados Falta de Resposta,Ela/Dela,Sim,Parda,Não,,Ciência da Computação,4° período,Mídias sociais
Eliminados Falta de Resposta,Ele/Dele,Não,Branca,Não,,Sistemas de Informação,2° período,Mídias sociais
Entrevista,Ele/Dele,Não,Branca,Não,,Ciência da Computação,4° período,Mídias sociais
Entrevista,Ele/Dele,Não,Branca,Não,,Ciência da Computação,6° período,Mídias sociais
Entrevista,Ele/Dele,Sim,Branca,Não,Não sei se TDAH conta como deficiência no Brasil,Ciência da Computação,4° período,Indicação por membros e ex-membros
Eliminados da Dinâmica,Ele/Dele,Não,Branca,Não,,Sistemas de Informação,3° período,Mídias sociais
Falta na Dinâmica,Ele/Dele,Não,Parda,Não,,Ciência da Computação,2° período,Outros
Entrevista,Ele/Dele,Não,Branca,Não,,Sistemas de Informação,3° período,Indicação por membros e ex-membros
Entrevista,Ele/Dele,Não,Branca,Não,,Sistemas de Informação,3° período,Outros
Entrevista,Ele/Dele,Não,Branca,Não,,Sistemas de Informação,5° período,Mídias sociais
Eliminados Falta de Resposta,Ele/Dele,Não,Preta,Não,,Ciência da Computação,5° período,Mídias sociais
Eliminados Falta de Resposta,Ele/Dele,Não,Preta,Não,,Tecnologia em Sistemas de Computação,2° período,Outros
Eliminados Falta de Resposta,Ela/Dela,Não,Branca,Não,,Tecnologia em Sistemas de Computação,3° período,Outros
